@relation iris

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute clase {0,1,2}

@data
-1.01844,-0.12454,-1.22344,-1.30859,0
-1.74302,-0.355171,-1.33679,-1.30859,0
-0.535384,1.95113,-1.39347,-1.04652,0
-1.25996,0.797981,-1.22344,-1.30859,0
-1.1392,-0.12454,-1.33679,-1.30859,0
-1.01844,1.25924,-1.33679,-1.30859,0
-0.173094,1.7205,-1.16677,-1.17756,0
-1.38073,0.33672,-1.22344,-1.30859,0
-1.01844,0.797981,-1.28012,-1.30859,0
-0.776911,0.797981,-1.33679,-1.30859,0
-0.897674,1.48987,-1.28012,-1.04652,0
-0.656147,1.48987,-1.28012,-1.30859,0
-1.50149,0.797981,-1.33679,-1.17756,0
-0.535384,0.797981,-1.28012,-1.04652,0
-1.38073,0.33672,-1.39347,-1.30859,0
-0.776911,2.41239,-1.28012,-1.43963,0
-0.897674,1.02861,-1.33679,-1.17756,0
-0.897674,1.7205,-1.28012,-1.17756,0
-1.1392,0.10609,-1.28012,-1.43963,0
-0.535384,1.95113,-1.16677,-1.04652,0
-1.25996,-0.12454,-1.33679,-1.17756,0
-1.01844,0.797981,-1.22344,-1.04652,0
-1.50149,0.10609,-1.28012,-1.30859,0
-0.897674,0.797981,-1.28012,-1.30859,0
-1.01844,0.567351,-1.33679,-1.30859,0
1.27607,0.10609,0.64686,0.394849,1
1.1553,-0.585801,0.590184,0.263815,1
-0.173094,-0.585801,0.420157,0.132781,1
0.309959,-0.355171,0.533509,0.263815,1
-0.776911,-0.816431,0.080102,0.263815,1
-0.414621,-1.04706,0.363481,0.001747,1
0.189196,0.797981,0.420157,0.525883,1
-0.293857,-0.12454,0.193454,0.132781,1
-0.293857,-0.12454,0.420157,0.394849,1
0.672249,-0.355171,0.306805,0.132781,1
0.430722,-0.355171,0.306805,0.132781,1
-0.414621,-1.50832,0.023426,-0.129287,1
-0.293857,-0.816431,0.250129,0.132781,1
0.793012,-0.585801,0.476833,0.394849,1
-0.052331,-0.816431,0.080102,0.001747,1
0.913776,-0.355171,0.476833,0.132781,1
-0.414621,-1.73895,0.136778,0.132781,1
0.551486,-1.27769,0.64686,0.394849,1
0.068433,0.33672,0.590184,0.787951,1
0.309959,-0.585801,0.136778,0.132781,1
0.913776,-0.12454,0.363481,0.263815,1
-0.414621,-1.27769,0.136778,0.132781,1
-0.535384,-0.12454,0.420157,0.394849,1
-0.173094,-0.585801,0.193454,0.132781,1
0.672249,0.33672,0.420157,0.394849,1
1.27607,0.10609,0.760212,1.44312,2
1.63836,1.25924,1.32697,1.70519,2
-0.052331,-0.816431,0.760212,0.918985,2
0.551486,-1.27769,0.703536,0.918985,2
1.1553,0.33672,1.21362,1.44312,2
-1.1392,-1.27769,0.420157,0.656917,2
-0.052331,-0.816431,0.760212,0.918985,2
0.189196,-1.96958,0.703536,0.394849,2
2.24217,1.7205,1.66703,1.31209,2
0.793012,-0.12454,1.15694,1.31209,2
1.03454,0.567351,1.10027,1.70519,2
-0.052331,-0.585801,0.760212,1.57416,2
0.189196,-0.12454,0.590184,0.787951,2
0.551486,-0.585801,0.760212,0.394849,2
0.068433,-0.12454,0.760212,0.787951,2
-0.173094,-1.27769,0.703536,1.05002,2
2.24217,-1.04706,1.78038,1.44312,2
1.87988,-0.585801,1.32697,0.918985,2
0.430722,0.797981,0.930239,1.44312,2
1.1553,-0.12454,0.986915,1.18105,2
0.672249,-0.816431,0.873564,0.918985,2
0.309959,-1.04706,1.04359,0.263815,2
1.03454,0.567351,1.10027,1.18105,2
0.672249,-0.585801,1.04359,1.31209,2
1.03454,-0.12454,0.816888,1.44312,2
